axle_loc,axle_id
0,13
10,13
7,13
17,13
10,12
18,12
14,3
44,3
58,5
22,1
36,1
50,2
38,10
43,10
58,11
53,4
75,4
89,6
54,14
68,14
81,14
95,14
86,4
108,4
122,6
93,13
103,13
125,14
139,14
168,10
173,10
188,11
217,14
231,14
246,14
260,14
296,10
301,10
316,11
324,12
332,12
350,10
355,10
370,11
367,1
381,1
395,2
389,7
395,7
418,8
424,8
440,9
414,12
422,12
418,10
423,10
438,11
462,4
484,4
498,6
465,14
479,14
487,13
497,13
528,13
538,13
548,4
570,4
584,6
579,10
584,10
599,11
620,13
630,13
664,14
678,14
711,12
719,12
721,3
751,3
765,5
734,12
742,12
779,1
793,1
807,2
809,7
815,7
838,8
844,8
860,9
834,12
842,12
865,14
879,14
906,13
916,13
933,7
939,7
962,8
968,8
984,9
943,13
953,13
966,7
972,7
995,8
1001,8
1017,9
987,14
1001,14
1035,14
1049,14
1066,13
1076,13
1101,7
1107,7
1130,8
1136,8
1152,9
1137,7
1143,7
1166,8
1172,8
1188,9
1154,3
1184,3
1198,5
1180,13
1190,13
1208,14
1222,14
1216,14
1230,14
1244,10
1249,10
1264,11
1279,10
1284,10
1299,11
1300,3
1330,3
1344,5
1342,14
1356,14
1379,7
1385,7
1408,8
1414,8
1430,9
1397,3
1427,3
1441,5
1420,14
1434,14
1439,13
1449,13
1478,14
1492,14
1515,4
1537,4
1551,6
1537,12
1545,12
1572,12
1580,12
1619,1
1633,1
1647,2
1658,7
1664,7
1687,8
1693,8
1709,9
1693,4
1715,4
1729,6
1698,12
1706,12
1717,4
1739,4
1753,6
1747,14
1761,14
1770,13
1780,13
1773,7
1779,7
1802,8
1808,8
1824,9
1784,7
1790,7
1813,8
1819,8
1835,9
1826,12
1834,12
1827,13
1837,13
1870,10
1875,10
1890,11
1874,10
1879,10
1894,11
1907,4
1929,4
1943,6
1932,7
1938,7
1961,8
1967,8
1983,9
1943,12
1951,12
1972,14
1986,14
1978,12
1986,12
2012,1
2026,1
2040,2
2042,12
2050,12
2045,7
2051,7
2074,8
2080,8
2096,9
2048,7
2054,7
2077,8
2083,8
2099,9
2056,1
2070,1
2084,2
2057,13
2067,13
2079,4
2101,4
2115,6
2121,3
2151,3
2165,5
2152,4
2174,4
2188,6
2178,7
2184,7
2207,8
2213,8
2229,9
2221,10
2226,10
2241,11
2226,10
2231,10
2246,11
2271,7
2277,7
2300,8
2306,8
2322,9
2276,7
2282,7
2305,8
2311,8
2327,9
2302,10
2307,10
2322,11
2309,12
2317,12
2337,14
2351,14
2337,12
2345,12
2375,7
2381,7
2404,8
2410,8
2426,9
2417,13
2427,13
