axle_loc,axle_id
0,car3
14,car3
17,HS20-32
31,HS20-32
45,HS20-8
40,HS20-32
54,HS20-32
68,HS20-8
72,HS20-32
102,HS20-32
116,HS20-8
73,HS20-32
103,HS20-32
117,HS20-8
115,dump-rear
120,dump-rear
135,dump-front
143,dump-rear
148,dump-rear
163,dump-front
186,HS20-32
200,HS20-32
214,HS20-8
203,car3
217,car3
225,car1
233,car1
228,car1
236,car1
237,HS20-32
251,HS20-32
265,HS20-8
270,car2
280,car2
287,car3
301,car3
332,car3
346,car3
338,car2
348,car2
387,car2
397,car2
414,dump-rear
419,dump-rear
434,dump-front
449,HS20-32
479,HS20-32
493,HS20-8
499,tst-tand
505,tst-tand
528,tst-drive
534,tst-drive
550,tst-front
513,HS20-32
543,HS20-32
557,HS20-8
534,HS20-32
548,HS20-32
562,HS20-8
557,car3
571,car3
595,HS20-32
617,HS20-32
631,HS20-8
636,HS20-32
658,HS20-32
672,HS20-8
