Var1,Var2
0,7
-168,6
-528,6
-2676,5
-2844,4
-3012,4
-6816,12
-7008,11
-7080,11
-7356,10
-7428,10
-10320,16
-10440,16
-12408,17
-12576,17
-16788,7
-16956,6
-17316,6
-22140,12
-22332,11
-22404,11
-22680,10
-22752,10
-26928,12
-27120,11
-27192,11
-27468,10
-27540,10
-29844,5
-30012,4
-30180,4
-33036,9
-33204,8
-33468,8
-39420,9
-39588,8
-39852,8
-44664,16
-44784,16
-46188,9
-46356,8
-46620,8
-51708,9
-51876,8
-52140,8
-54936,12
-55128,11
-55200,11
-55476,10
-55548,10
-57480,14
-57660,13
-57720,13
-61608,15
-61704,15
-63660,5
-63828,4
-63996,4
-66264,12
-66456,11
-66528,11
-66804,10
-66876,10
-72240,5
-72408,4
-72576,4
-77412,15
-77508,15
-81696,9
-81864,8
-82128,8
-85752,14
-85932,13
-85992,13
-91596,16
-91716,16
-95220,9
-95388,8
-95652,8
-98028,7
-98196,6
-98556,6
-102936,7
-103104,6
-103464,6
-109104,14
-109284,13
-109344,13
-112152,17
-112320,17
-116232,9
-116400,8
-116664,8
-121332,14
-121512,13
-121572,13
-125028,15
-125124,15
-130368,16
-130488,16
-135372,5
-135540,4
-135708,4
-137640,14
-137820,13
-137880,13
-139080,14
-139260,13
-139320,13
