axle_loc,axle_id
-1440,10
-1512,10
-1788,11
-1860,11
-2052,12
-7044,4
-7212,4
-7380,5
-11400,16
-11520,16
-14748,6
-15108,6
-15276,8
-16800,10
-16872,10
-17148,11
-17220,11
-17412,12
-19860,6
-20220,6
-20388,8
-24828,17
-24996,17
-26856,17
-27024,17
-31632,6
-31992,6
-32160,8
-37524,7
-37788,7
-37956,9
-43416,4
-43584,4
-43752,5
-47652,4
-47820,4
-47988,5
-49788,17
-49956,17
-51924,16
-52044,16
-56916,17
-57084,17
-60192,4
-60360,4
-60528,5
-63444,10
-63516,10
-63792,11
-63864,11
-64056,12
-68580,13
-68640,13
-68820,14
-71676,15
-71772,15
-74796,4
-74964,4
-75132,5
-77016,6
-77376,6
-77544,8
-80580,6
-80940,6
-81108,8
-85476,7
-85740,7
-85908,9
-87576,4
-87744,4
-87912,5
-93828,7
-94092,7
-94260,9
-95640,13
-95700,13
-95880,14
-100020,17
-100188,17
-102096,17
-102264,17
-107304,6
-107664,6
-107832,8
-109452,4
-109620,4
-109788,5
-111756,16
-111876,16
-114060,13
-114120,13
-114300,14
-115884,17
-116052,17
-118560,10
-118632,10
-118908,11
-118980,11
-119172,12
-124752,7
-125016,7
-125184,9
