axle_loc,axle_id
-36048,6
-35688,6
-35520,8
-34572,10
-34500,10
-34224,11
-34152,11
-33960,12
-33324,15
-33228,15
-32352,4
-32184,4
-32016,5
-31572,10
-31500,10
-31224,11
-31152,11
-30960,12
-29796,7
-29532,7
-29364,9
-28860,6
-28500,6
-28332,8
-27696,6
-27336,6
-27168,8
-26376,6
-26016,6
-25848,8
-24852,13
-24792,13
-24612,14
-24312,4
-24144,4
-23976,5
-23640,6
-23280,6
-23112,8
-21996,7
-21732,7
-21564,9
-20868,17
-20700,17
-20052,4
-19884,4
-19716,5
-19368,4
-19200,4
-19032,5
-18408,6
-18048,6
-17880,8
-16992,4
-16824,4
-16656,5
-15756,7
-15492,7
-15324,9
-14760,17
-14592,17
-13848,16
-13728,16
-13068,10
-12996,10
-12720,11
-12648,11
-12456,12
-12072,17
-11904,17
-11448,17
-11280,17
-10836,4
-10668,4
-10500,5
-9504,17
-9336,17
-8952,17
-8784,17
-7692,7
-7428,7
-7260,9
-6216,13
-6156,13
-5976,14
-5412,13
-5352,13
-5172,14
-4824,10
-4752,10
-4476,11
-4404,11
-4212,12
-3576,17
-3408,17
-2952,15
-2856,15
-2052,17
-1884,17
-816,4
-648,4
-480,5
