axle_loc,axle_id
-720,4
-888,4
-1056,5
-3300,13
-3360,13
-3540,14
-5604,15
-5700,15
-7140,7
-7404,7
-7572,9
-9312,15
-9408,15
-10740,16
-10860,16
-11712,4
-11880,4
-12048,5
-13500,13
-13560,13
-13740,14
-15408,6
-15768,6
-15936,8
-17244,4
-17412,4
-17580,5
-18216,4
-18384,4
-18552,5
-20172,17
-20340,17
-21936,16
-22056,16
-22992,17
-23160,17
-24336,13
-24396,13
-24576,14
-26652,4
-26820,4
-26988,5
-29340,6
-29700,6
-29868,8
-30960,13
-31020,13
-31200,14
-32124,17
-32292,17
-34452,6
-34812,6
-34980,8
-36840,15
-36936,15
-38244,16
-38364,16
-40500,10
-40572,10
-40848,11
-40920,11
-41112,12
-42168,6
-42528,6
-42696,8
-44712,16
-44832,16
-46236,16
-46356,16
-47916,15
-48012,15
-49908,15
-50004,15
-51432,16
-51552,16
-52728,4
-52896,4
-53064,5
-53940,4
-54108,4
-54276,5
-54948,4
-55116,4
-55284,5
-57204,17
-57372,17
-58968,17
-59136,17
-60024,16
-60144,16
