axle_loc,axle_id
-1200,15
-1296,15
-3300,6
-3660,6
-3828,8
-7512,7
-7776,7
-7944,9
-9444,16
-9564,16
-12024,16
-12144,16
-15456,6
-15816,6
-15984,8
-17820,10
-17892,10
-18168,11
-18240,11
-18432,12
-21024,16
-21144,16
-23160,13
-23220,13
-23400,14
-24612,7
-24876,7
-25044,9
-26976,17
-27144,17
-29784,16
-29904,16
-33912,13
-33972,13
-34152,14
-38544,15
-38640,15
-41868,6
-42228,6
-42396,8
-46440,15
-46536,15
-48456,15
-48552,15
-53196,13
-53256,13
-53436,14
-57900,4
-58068,4
-58236,5
-61932,16
-62052,16
-63672,7
-63936,7
-64104,9
-68064,15
-68160,15
-71136,4
-71304,4
-71472,5
-75744,4
-75912,4
-76080,5
-78240,13
-78300,13
-78480,14
-82572,17
-82740,17
-83928,15
-84024,15
-85644,17
-85812,17
-86976,7
-87240,7
-87408,9
-90852,13
-90912,13
-91092,14
-93084,7
-93348,7
-93516,9
-96684,6
-97044,6
-97212,8
-99900,7
-100164,7
-100332,9
-102864,10
-102936,10
-103212,11
-103284,11
-103476,12
-105276,16
-105396,16
