Var1,Var2
0,12
-192,11
-264,11
-540,10
-612,10
-2496,17
-2664,17
-4584,14
-4764,13
-4824,13
-9192,15
-9288,15
-11100,9
-11268,8
-11532,8
-13092,16
-13212,16
-15780,15
-15876,15
-18036,17
-18204,17
-21132,7
-21300,6
-21660,6
-25524,16
-25644,16
-28644,17
-28812,17
-30504,12
-30696,11
-30768,11
-31044,10
-31116,10
-35664,14
-35844,13
-35904,13
-37584,15
-37680,15
-39312,17
-39480,17
-43752,15
-43848,15
-45696,16
-45816,16
-49164,12
-49356,11
-49428,11
-49704,10
-49776,10
-50904,7
-51072,6
-51432,6
-55764,14
-55944,13
-56004,13
-57408,15
-57504,15
-61176,5
-61344,4
-61512,4
-63360,5
-63528,4
-63696,4
-66756,12
-66948,11
-67020,11
-67296,10
-67368,10
-71616,5
-71784,4
-71952,4
-73116,7
-73284,6
-73644,6
-75912,12
-76104,11
-76176,11
-76452,10
-76524,10
-79344,9
-79512,8
-79776,8
-81156,12
-81348,11
-81420,11
-81696,10
-81768,10
-85044,12
-85236,11
-85308,11
-85584,10
-85656,10
-88620,14
-88800,13
-88860,13
-90132,12
-90324,11
-90396,11
-90672,10
-90744,10
-94620,15
-94716,15
-98316,14
-98496,13
-98556,13
-103164,14
-103344,13
-103404,13
-104364,14
-104544,13
-104604,13
