Var1,Var2
0,7
-168,6
-528,6
-17220,15
-17316,15
-21672,15
-21768,15
-35880,12
-36072,11
-36144,11
-36420,10
-36492,10
-43068,17
-43236,17
-47508,5
-47676,4
-47844,4
-56724,17
-56892,17
-61128,9
-61296,8
-61560,8
-75024,14
-75204,13
-75264,13
-84300,14
-84480,13
-84540,13
-98004,15
-98100,15
-102528,5
-102696,4
-102864,4
-109392,17
-109560,17
-122256,5
-122424,4
-122592,4
-139116,16
-139236,16
-146268,15
-146364,15
-156360,5
-156528,4
-156696,4
-162732,5
-162900,4
-163068,4
-171156,9
-171324,8
-171588,8
-175704,7
-175872,6
-176232,6
-183612,17
-183780,17
-198480,7
-198648,6
-199008,6
-213192,7
-213360,6
-213720,6
-225048,17
-225216,17
-239328,15
-239424,15
-243732,12
-243924,11
-243996,11
-244272,10
-244344,10
-252432,12
-252624,11
-252696,11
-252972,10
-253044,10
-261276,5
-261444,4
-261612,4
-266820,17
-266988,17
-278844,5
-279012,4
-279180,4
-291204,15
-291300,15
-305184,9
-305352,8
-305616,8
-319728,5
-319896,4
-320064,4
-336072,9
-336240,8
-336504,8
-348972,9
-349140,8
-349404,8
-352764,14
-352944,13
-353004,13
